YUV,QP,128x128,128x64,64x128,64x64,64x48,64x32,64x24,64x16,64x12,64x8,64x4,64x2,48x64,48x32,48x16,48x8,48x4,32x64,32x48,32x32,32x24,32x16,32x12,32x8,32x4,32x2,24x64,24x32,24x16,24x8,24x4,16x64,16x48,16x32,16x24,16x16,16x12,16x8,16x4,16x2,12x64,12x32,12x16,12x8,12x4,8x64,8x48,8x32,8x24,8x16,8x12,8x8,8x4,8x2,4x64,4x48,4x32,4x24,4x16,4x12,4x8,4x4,4x2,2x64,2x32,2x16,2x8,2x4,zeros,resto,chroma
Cactus_INTER.csv,32,1799,244,263,1957,0,1312,0,1188,0,890,56,4,0,0,0,0,0,847,0,2349,0,1278,0,975,192,0,0,0,0,0,0,706,0,1595,0,2209,0,1340,491,8,0,0,0,0,0,422,0,1286,0,1555,0,1070,224,12,122,0,352,0,585,0,243,58,0,0,16,12,14,0,21,40,10012
Cactus_INTER.csv,37,2155,254,265,1687,0,1182,0,1059,0,821,24,0,0,0,0,0,0,632,0,1427,0,835,0,492,63,0,0,0,0,0,0,583,0,930,0,887,0,411,74,4,0,0,0,0,0,273,0,583,0,343,0,122,15,0,74,0,80,0,95,0,30,0,0,0,0,4,0,0,2,0,4182
Cactus_INTRA.csv,22,1,0,0,8,0,33,0,84,0,139,136,28,0,0,0,0,0,23,0,176,0,455,0,944,1037,224,0,0,0,0,0,35,0,214,0,1599,0,4189,4565,624,0,0,0,0,0,22,0,204,0,1436,0,4540,8346,1694,24,0,141,0,1212,0,4708,6336,0,8,12,72,458,0,2343,1448,42790
Cactus_INTRA.csv,27,63,16,13,137,0,78,0,81,0,64,26,12,0,0,0,0,0,58,0,384,0,610,0,704,631,116,0,0,0,0,0,48,0,449,0,1638,0,2512,2361,556,0,0,0,0,0,28,0,357,0,1862,0,3802,4880,1388,31,0,259,0,1488,0,4074,5282,0,0,16,208,760,0,791,1200,22892
Cactus_INTRA.csv,32,105,11,6,151,0,63,0,83,0,60,18,12,0,0,0,0,0,67,0,501,0,594,0,622,475,84,0,0,0,0,0,64,0,506,0,1419,0,1805,1400,364,0,0,0,0,0,35,0,488,0,1833,0,2972,2999,684,28,0,332,0,1330,0,3076,3442,0,4,32,212,610,0,199,708,13662
Cactus_INTRA.csv,37,120,25,13,174,0,82,0,109,0,66,27,4,0,0,0,0,0,89,0,587,0,618,0,589,378,104,0,0,0,0,0,98,0,653,0,1263,0,1485,961,268,0,0,0,0,0,41,0,553,0,1707,0,2021,1692,372,19,0,315,0,1091,0,1854,1822,0,0,40,160,368,0,24,524,8422
MarketPlace_INTER.csv,22,0,0,0,7,0,4,0,3,0,0,0,0,0,0,0,0,0,2,0,44,0,81,0,237,309,144,0,0,0,0,0,30,0,75,0,343,0,1043,3032,664,0,0,0,0,0,5,0,215,0,1030,0,12501,82445,6156,2,0,3878,0,19922,0,81413,86374,0,4,260,2120,14224,0,89190,85448,866944
MarketPlace_INTER.csv,27,0,0,0,7,0,2,0,6,0,10,7,0,0,0,0,0,0,7,0,122,0,134,0,441,886,148,0,0,0,0,0,33,0,156,0,336,0,2256,9509,376,0,0,0,0,0,18,0,418,0,837,0,15258,61764,2200,33,0,829,0,4008,0,49044,32414,0,4,416,1052,2652,0,44376,9076,863759
MarketPlace_INTER.csv,32,0,0,0,7,0,6,0,3,0,11,4,0,0,0,0,0,0,7,0,144,0,112,0,923,2819,128,0,0,0,0,0,36,0,169,0,404,0,6685,26297,204,0,0,0,0,0,20,0,465,0,1505,0,25924,77263,760,28,0,681,0,3771,0,39071,10428,0,0,304,344,406,0,17097,1540,780240
MarketPlace_INTER.csv,37,1,0,0,46,0,17,0,54,0,19,28,0,0,0,0,0,0,2,0,89,0,171,0,1650,6728,140,0,0,0,0,0,142,0,234,0,1297,0,12535,38076,192,0,0,0,0,0,8,0,399,0,4366,0,32103,74896,858,20,0,766,0,6289,0,29244,5894,0,0,140,60,90,0,9968,776,604376
MarketPlace_INTRA.csv,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,32,51,0,0,0,0,0,0,0,0,11,0,24,0,87,174,0,0,0,0,0,0,0,0,79,0,163,0,225,1187,0,0,0,14992,0,5869,0,939,1562,0,0,0,0,12,0,926,80068,113462
MarketPlace_INTRA.csv,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,22,0,50,142,4,0,0,0,0,0,0,0,23,0,45,0,167,308,8,0,0,0,0,0,0,0,106,0,275,0,387,1727,34,0,0,12546,0,4991,0,1274,1884,0,0,0,0,36,0,1142,65128,108496
MarketPlace_INTRA.csv,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,75,0,176,319,4,0,0,0,0,0,0,0,41,0,131,0,546,1362,0,0,0,0,0,0,0,0,112,0,411,0,1413,3512,54,0,0,9498,0,5285,0,2071,1904,0,0,4,0,76,0,851,52884,109168
